steps,reward,extrinsic_reward,intrinsic_reward
4196,-106.18104955181609,-106.2322668736348,0.05121732181869444
4261,-173.3295515333516,-173.37121976336738,0.041668230015784506
4313,-107.21982076796345,-107.24904184485428,0.029221076890826224
4379,-135.1321071137599,-135.17009365208622,0.037986538326367746
4458,-107.05825348641906,-107.10295849317868,0.04470500675961377
4544,-157.34201816883547,-157.39695843225022,0.054940263414755455
4595,-112.21255636438508,-112.24830474401605,0.03574837963096796
4658,-148.85242072857199,-148.89359257515736,0.04117184658534824
4742,-209.05562161734986,-209.11706519901477,0.06144358166493475
4817,-133.3896545865171,-133.43654779801784,0.04689321150071919
4902,-171.66911702599967,-171.7330415834825,0.06392455748282375
4973,-139.85338996462815,-139.89265067931555,0.03926071468740703
5038,-164.5530951313946,-164.60128761621112,0.04819248481653631
5102,-155.2972444228974,-155.3318553482794,0.0346109253820032
5171,-155.16968829396512,-155.2097815225586,0.04009322859346867
5254,-37.926627326326326,-37.974540620332476,0.04791329400613905
5319,-116.2055165328431,-116.23532277209415,0.029806239251047383
5410,-22.39262163041913,-22.442753283994335,0.05013165357522668
5464,-141.896175118127,-141.92319443073225,0.027019312605261803
5553,-150.12449470424264,-150.16938531069255,0.044890606449916964
5609,-136.49486187617393,-136.52279918720114,0.02793731102719903
5676,-121.10565434878987,-121.13700718156358,0.03135283277370036
5739,-134.00023263524253,-134.0351074477561,0.034874812513589856
5820,-174.2569148341989,-174.30591576889663,0.04900093469768764
5886,-119.60988353562806,-119.64018887516374,0.030305339535698302
5968,-156.6842358244091,-156.72383612482545,0.03960030041635037
6055,-123.05924671455512,-123.10357659079824,0.04432987624313683
6126,-130.0685073257233,-130.0993625045097,0.030855178786441676
6181,-132.77827737182974,-132.80487154881135,0.02659417698159814
6239,-128.44630892638,-128.46904409102046,0.02273516464047134
6330,-102.21436363974635,-102.25611159560785,0.0417479558615014
6407,-132.74613168365246,-132.7802285680773,0.0340968844247982
6468,-121.70592001856656,-121.732862394125,0.02694237555842846
6559,-110.16548671838265,-110.20270182534026,0.03721510695759207
6637,-113.05108957156621,-113.0815796544644,0.030490082898177204
6708,-174.7294142166883,-174.76572652112543,0.03631230443716049
6788,-126.83062742829135,-126.86524721183162,0.03461978354025633
6854,-146.91577205011552,-146.94589895963134,0.030126909515820442
6905,-131.6199758967033,-131.64303514620963,0.023059249506331977
6974,-133.98018948809602,-134.01033494292184,0.030145454825833445
7059,-165.5382394381925,-165.57659357149487,0.03835413330234587
7115,-119.63668827927411,-119.65880417219103,0.022115892916917804
7191,-170.16004139150527,-170.19237609080074,0.032334699295461185
7243,-145.36267633691767,-145.38928786143532,0.026611524517647915
7305,-126.02556758926373,-126.04953775657928,0.023970167315565043
7388,-119.82326910470775,-119.85605499537822,0.03278589067049325
7468,-114.46962101124271,-114.50069921398581,0.031078202743083243
7525,-103.94130068345666,-103.95898429088965,0.01768360743299127
7577,-129.64120738025073,-129.6610962139747,0.01988883372396231
7654,-168.1242771534067,-168.1583008984852,0.03402374507859348
